SetID,Number,Variant,Theme,SubTheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,Image,ImageFilename,InstructionsAvailable,EAN,UPC
22892,"71002","2","Collectable Minifigures","Series 11","2013","Scarecrow",1,7,1.99,,,"True","71002-2","False","",""
22891,"71002","3","Collectable Minifigures","Series 11","2013","Pretzel Girl",1,7,1.99,,,"True","71002-3","False","",""
22885,"71002","4","Collectable Minifigures","Series 11","2013","Evil Mech",1,8,1.99,,,"True","71002-4","False","",""
22895,"71002","5","Collectable Minifigures","Series 11","2013","Island Warrior",1,7,1.99,,,"True","71002-5","False","",""
22896,"71002","6","Collectable Minifigures","Series 11","2013","Gingerbread Man",1,5,1.99,,,"True","71002-6","False","",""
22890,"71002","7","Collectable Minifigures","Series 11","2013","Holiday Elf",1,8,1.99,,,"True","71002-7","False","",""
22884,"71002","8","Collectable Minifigures","Series 11","2013","Yeti",1,5,1.99,,,"True","71002-8","False","",""
22893,"71002","9","Collectable Minifigures","Series 11","2013","Mountain Climber",1,7,1.99,2.99,3.49,"True","71002-9","False","",""
23151,"71004","0","Collectable Minifigures","The LEGO Movie Series","2014","LEGO Minifigures - The LEGO Movie Series {Random bag}",,,,,,"True","71004-0","False","",""
23154,"71004","1","Collectable Minifigures","The LEGO Movie Series","2014","Calamity Drone",,,,2.99,,"False","","False","",""
23163,"71004","10","Collectable Minifigures","The LEGO Movie Series","2014","Larry the Barista",,,,2.99,,"False","","False","",""
23164,"71004","11","Collectable Minifigures","The LEGO Movie Series","2014","Velma Staplebot",,,,2.99,,"False","","False","",""
23165,"71004","12","Collectable Minifigures","The LEGO Movie Series","2014","Taco Tuesday Guy",,,,2.99,,"False","","False","",""
23166,"71004","13","Collectable Minifigures","The LEGO Movie Series","2014","Where are my pants? Guy",,,,2.99,,"False","","False","",""
23167,"71004","14","Collectable Minifigures","The LEGO Movie Series","2014","Wiley Fusebot",,,,2.99,,"False","","False","",""
23168,"71004","15","Collectable Minifigures","The LEGO Movie Series","2014","Panda Guy",,,,2.99,,"False","","False","",""
23169,"71004","16","Collectable Minifigures","The LEGO Movie Series","2014","Marsha Queen of the Mermaids",,,,2.99,,"False","","False","",""
23170,"71004","17","Collectable Minifigures","The LEGO Movie Series","2014","LEGO Minifigures - The LEGO Movie Series - Complete",,,,,,"True","71004-17","False","",""
23171,"71004","18","Collectable Minifigures","The LEGO Movie Series","2014","LEGO Minifigures - The LEGO Movie Series - Sealed Box",,,,,,"True","71004-18","False","",""
23155,"71004","2","Collectable Minifigures","The LEGO Movie Series","2014","President Business",,,,2.99,,"False","","False","",""
23156,"71004","3","Collectable Minifigures","The LEGO Movie Series","2014","Hard Hat Emmet",,,,2.99,,"False","","False","",""
23157,"71004","4","Collectable Minifigures","The LEGO Movie Series","2014","Wild West Wyldstyle",,,,2.99,,"False","","False","",""
23158,"71004","5","Collectable Minifigures","The LEGO Movie Series","2014","Abraham Lincoln",,,,2.99,,"False","","False","",""
23159,"71004","6","Collectable Minifigures","The LEGO Movie Series","2014","Mrs. Scratchen-Post",,,,2.99,,"False","","False","",""
23160,"71004","7","Collectable Minifigures","The LEGO Movie Series","2014","Scribble-Face Bad Cop",,,,2.99,,"False","","False","",""
23161,"71004","8","Collectable Minifigures","The LEGO Movie Series","2014","William Shakespeare",,,,2.99,,"False","","False","",""
23162,"71004","9","Collectable Minifigures","The LEGO Movie Series","2014","Gail the Construction Worker",,,,2.99,,"False","","False","",""
23152,"71005","0","Collectable Minifigures","Series 12","2014","LEGO Minifigures Series 12 {Random bag}",,,,,,"False","","False","",""
9854,"75000","1","Star Wars","Episode II","2013","Clone Troopers vs. Droidekas",4,124,11.99,12.99,15.99,"True","75000-1","True","5702014974937","673419191579"
9855,"75001","1","Star Wars","The Old Republic","2013","Republic Troopers vs. Sith Troopers",4,63,11.99,12.99,15.99,"True","75001-1","True","5702014974913","673419191562"
9856,"75002","1","Star Wars","The Clone Wars","2013","AT-RT",4,222,19.99,19.99,24.99,"True","75002-1","True","5702014974906","673419191555"
9857,"75003","1","Star Wars","Episode IV-VI","2013","A-wing Starfighter",3,177,24.99,24.99,29.99,"True","75003-1","True","5702014974890","673419191548"
9858,"75004","1","Star Wars","The Clone Wars","2013","Z-95 Headhunter",3,373,39.99,49.99,59.99,"True","75004-1","True","5702014974883","673419191531"
9859,"75005","1","Star Wars","Episode IV-VI","2013","Rancor Pit",4,380,59.99,59.99,74.99,"True","75005-1","True","5702014974876","673419191524"
9862,"75006","1","Star Wars","Planet Set","2013","Jedi Starfighter & Kamino",1,61,9.99,9.99,12.99,"True","75006-1","True","5702014974241","673419191296"
9863,"75007","1","Star Wars","Planet Set","2013","Republic Assault Ship & Coruscant",1,74,9.99,9.99,12.99,"True","75007-1","True","5702014974258","673419191302"
9864,"75008","1","Star Wars","Planet Set","2013","TIE Bomber & Asteroid Field",1,60,9.99,9.99,12.99,"True","75008-1","True","5702014974265","673419191319"
9865,"75009","1","Star Wars","Planet Set","2013","Snowspeeder & Hoth",1,69,11.99,9.99,,"True","75009-1","True","5702014974678","673419191326"
9866,"75010","1","Star Wars","Planet Set","2013","B-Wing Starfighter & Endor",1,83,11.99,9.99,,"True","75010-1","True","5702014974685","673419191333"
9867,"75011","1","Star Wars","Planet Set","2013","Tantive IV & Alderaan",1,102,11.99,9.99,,"True","75011-1","True","5702014974692","673419191340"
9860,"75012","1","Star Wars","The Clone Wars","2013","BARC Speeder with Sidecar",4,226,24.99,24.99,29.99,"True","75012-1","True","5702014974869",""
9861,"75013","1","Star Wars","The Clone Wars","2013","Umbaran MHC (Mobile Heavy Cannon)",4,493,49.99,49.99,64.99,"True","75013-1","True","5702014974852",""
10162,"75014","1","Star Wars","Episode IV-VI","2013","Battle of Hoth",7,426,39.99,49.99,64.99,"True","75014-1","True","5702014974845",""
10222,"75015","1","Star Wars","Episode II","2013","Corporate Alliance Tank Droid",3,271,19.99,19.99,24.99,"True","75015-1","True","5702014974838","673419191487"
10223,"75016","1","Star Wars","Episode II","2013","Homing Spider Droid",4,295,29.99,29.99,39.99,"True","75016-1","True","5702014974821","673419191470"
10224,"75017","1","Star Wars","Episode II","2013","Duel on Geonosis",4,391,39.99,39.99,49.99,"True","75017-1","True","5702014974814","673419191463"
10225,"75018","1","Star Wars","Yoda Chronicles","2013","JEK-14’s Stealth Starfighter",4,550,59.99,69.99,89.99,"True","75018-1","True","5702014974807","673419191456"
10226,"75019","1","Star Wars","Episode II","2013","AT-TE ",5,794,79.99,89.99,119.99,"True","75019-1","True","5702014974791","673419191449"
10227,"75020","1","Star Wars","Episode IV-VI","2013","Jabba’s Sail Barge",6,850,99.99,119.99,149.99,"True","75020-1","True","5702014974784","673419191432"
10228,"75021","1","Star Wars","Episode II","2013","Republic Gunship",7,1175,109.99,119.99,149.99,"True","75021-1","True","5702014974753","673419191401"
10229,"75022","1","Star Wars","The Clone Wars","2013","Mandalorian Speeder",3,211,24.99,24.99,29.99,"True","75022-1","True","5702014974746","673419191395"
10279,"75023","1","Star Wars","Seasonal","2013","Star Wars Advent Calendar",9,254,24.99,39.99,49.99,"True","75023-1","False","5702014974760","673419191418"
10280,"75024","1","Star Wars","The Clone Wars","2013","HH-87 Starhopper",3,362,39.99,39.99,49.99,"True","75024-1","True","5702014974739",""
10281,"75025","1","Star Wars","The Old Republic","2013","Jedi Defender-class Cruiser",4,927,99.99,89.99,119.99,"True","75025-1","True","5702014974722",""
22959,"75028","1","Star Wars","MicroFighters","2014","Clone Turbo Tank",,,,,,"True","75028-1","False","",""
22960,"75029","1","Star Wars","MicroFighters","2014","AAT",,,,,,"True","75029-1","False","",""
22961,"75030","1","Star Wars","MicroFighters","2014","Millennium Falcon",,,,,,"True","75030-1","False","",""
22962,"75031","1","Star Wars","MicroFighters","2014","TIE Interceptor",,,,,,"True","75031-1","False","",""
22963,"75032","1","Star Wars","MicroFighters","2014","X-Wing Fighter",,,,,,"True","75032-1","False","",""
22964,"75033","1","Star Wars","MicroFighters","2014","Star Destroyer",,,,,,"True","75033-1","False","",""
22956,"75034","1","Star Wars","Episode IV-VI","2014","Death Star Troopers",,,,,,"True","75034-1","False","",""
22955,"75035","1","Star Wars","Episode III","2014","Kashyyyk Troopers",,,,,,"True","75035-1","False","",""
22957,"75036","1","Star Wars","Episode III","2014","Utapau Troopers",,,,,,"True","75036-1","False","",""
22958,"75037","1","Star Wars","The Clone Wars","2014","Battle on Saleucami",,,,,,"True","75037-1","False","",""
22965,"75038","1","Star Wars","Episode III","2014","Jedi Interceptor",,,,,,"True","75038-1","False","",""
22966,"75039","1","Star Wars","Episode III","2014","V-Wing Starfighter",,,,,,"True","75039-1","False","",""
22967,"75040","1","Star Wars","Episode III","2014","General Grievous’ Wheel Bike",,,,,,"True","75040-1","False","",""
22968,"75041","1","Star Wars","Episode III","2014","Vulture Droid",,,,,,"True","75041-1","False","",""
22969,"75042","1","Star Wars","Episode III","2014","Droid Gunship",,,,,,"True","75042-1","False","",""
22970,"75043","1","Star Wars","Episode III","2014","AT-AP",,,,,,"True","75043-1","False","",""
